GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
GAB3,-0.7832061711981471,0.0036281536989137605,8.192842627635338,8.976048798833485,0.4429487615021118,down
ANKRD16,0.6719894439675365,0.0036305734623295633,6.96409195658663,6.292102512619094,0.4429487615021118,up
POLDIP3,-0.45409078359309163,0.0036756962905062987,8.835317627174224,9.289408410767315,0.4429487615021118,down
NCSTN,-0.5137216322304621,0.003770655550839217,8.341513226884517,8.85523485911498,0.4429487615021118,down
LOC105376805,-0.6801456136105166,0.003794371030405312,9.85671694244618,10.536862556056697,0.4429487615021118,down
CEP162,-0.6473281432618849,0.0037977153037143598,5.427221643835495,6.07454978709738,0.4429487615021118,down
ZACN,-1.0252840819182891,0.003814387903392807,3.5598653957230146,4.585149477641304,0.4429487615021118,down
B3GALT4,-0.6407477758339883,0.0038216872725204817,7.542612669053767,8.183360444887755,0.4429487615021118,down
LOC100505782,-1.2808088562619229,0.003830292271131704,1.7107303959402909,2.9915392522022137,0.4429487615021118,down
PTPN6,-0.7069294827911463,0.0038412324715188816,9.513074582523327,10.220004065314473,0.4429487615021118,down
TPO,0.7790610615118212,0.0038581644389173394,2.5185418949796876,1.7394808334678664,0.4429487615021118,up
ABHD6,-0.778397701699042,0.00389078832000506,5.4157977917004025,6.1941954933994445,0.4429487615021118,down
POU2AF1,1.647691262890687,0.0039061320396230935,12.34976126991018,10.702070007019493,0.4429487615021118,up
ARHGAP25,-0.5109590225494305,0.003908656237755474,8.479553563676264,8.990512586225694,0.4429487615021118,down
ORAI3,-0.7559093710921658,0.003912326997404373,7.386793922691597,8.142703293783763,0.4429487615021118,down
ZNF276,-0.4483726821268803,0.00392237004675228,6.564121533173702,7.012494215300582,0.4429487615021118,down
CFAP44,0.7412843000308573,0.003933198235427429,6.774786551773458,6.0335022517426005,0.4429487615021118,up
NOL7,0.5314140751298684,0.003969408383673528,11.033027718873925,10.501613643744056,0.4429487615021118,up
APOL3,-0.5763068071237498,0.003980122798926954,9.235236747691035,9.811543554814785,0.4429487615021118,down
DEC1,-1.11277589303574,0.003997511237192705,2.349436617167535,3.4622125102032753,0.4429487615021118,down
LINC00687,1.3073971769293702,0.003999117958137976,2.9890800118916383,1.6816828349622681,0.4429487615021118,up
PRO2964,-1.2522839185457202,0.004008239094282942,2.598506414584038,3.8507903331297584,0.4429487615021118,down
ELF4,-0.7256736563453821,0.004036044292059557,9.860654065263073,10.586327721608455,0.4429487615021118,down
SLC7A13,-1.1089562420423529,0.004036586206404824,2.0718063666432074,3.1807626086855603,0.4429487615021118,down
IQCE,-0.4712666538389563,0.0040382417252453895,5.7691239064249915,6.240390560263948,0.4429487615021118,down
ADORA2B,1.265627713026717,0.004064805171389421,4.181434517603046,2.915806804576329,0.4429487615021118,up
CT47A12,1.4681509586416626,0.004075822945445604,3.14255889671768,1.6744079380760173,0.4429487615021118,up
NLRC5,-0.7792025115736116,0.004076201335443068,11.304568138728465,12.083770650302077,0.4429487615021118,down
CTDSP1,-0.6425234344158319,0.004091986351098578,8.058996574806326,8.701520009222158,0.4429487615021118,down
MIR6513,-0.5187289882658073,0.004095728034882809,7.294793738691898,7.8135227269577054,0.4429487615021118,down
FTO,0.3635065676881801,0.004152990411736816,8.771028006869635,8.407521439181455,0.4429487615021118,up
DANCR,1.0602463164786968,0.004172712520873678,9.34243003427935,8.282183717800653,0.4429487615021118,up
OR6B1,1.5414339355991704,0.004200044788819137,3.452654788865447,1.9112208532662767,0.4429487615021118,up
LOC105372953,1.1483975570999672,0.00422562557352371,2.8735011827857675,1.7251036256858003,0.4429487615021118,up
SLC16A14,1.8564720455207286,0.0042327899066463325,7.160742208324811,5.304270162804082,0.4429487615021118,up
SLC1A4,0.9087060122704145,0.00428002625601746,9.634405588223977,8.725699575953563,0.4429487615021118,up
OGFOD3,0.5421528730152794,0.004295861242612009,8.95600010368295,8.41384723066767,0.4429487615021118,up
ZNF524,-0.6384186904116929,0.004320470795975681,5.616676654859619,6.255095345271312,0.4429487615021118,down
IFITM3,-0.609516480828125,0.004324424651351629,12.650193305644677,13.259709786472802,0.4429487615021118,down
PLPP5,1.408603224423965,0.004340449533083076,10.834682425230913,9.426079200806948,0.4429487615021118,up
TSHR,1.564256816480306,0.004393942758651063,5.812682521997262,4.248425705516956,0.4429487615021118,up
SNHG1,0.5923320772762466,0.0044087348115848446,11.835877929903557,11.24354585262731,0.4429487615021118,up
